Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
PAQR6	FLJ22672, PRdelta	ENSG00000160781	Progestin and adipoQ receptor family member 6	1	156243321-156248117	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA073505			Approved	Nucleus<br>Nucleoli	Renal cancer:1.58e-8 (unfavourable), Colorectal cancer:1.60e-5 (unfavourable), Urothelial cancer:1.86e-4 (favourable), Prostate cancer:1.99e-4 (unfavourable)	Tissue enriched	Tissue enriched	9	cerebral cortex: 97.5	skin: 10.7	Cell line enhanced		U-266/70: 19.6
FAM69B	C9orf136, MGC20262	ENSG00000165716	Family with sequence similarity 69 member B	9	136712570-136724050	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA046812, HPA054443	Uncertain		Approved	Nucleus<br>Nuclear bodies<br>Vesicles	Colorectal cancer:1.77e-5 (unfavourable), Pancreatic cancer:9.48e-5 (favourable)	Expressed in all	Mixed			placenta: 29.6	Cell line enhanced		EFO-21: 67.2;HEK 293: 59.7;HUVEC TERT2: 67.6
CRACR2B	EFCAB4A, MGC45840	ENSG00000177685	Calcium release activated channel regulator 2B	11	826144-831991	Predicted intracellular proteins	Evidence at protein level	HPA046217	Approved				Colorectal cancer:1.81e-5 (unfavourable)	Expressed in all	Tissue enhanced		salivary gland: 120.0	stomach: 56.6	Cell line enhanced		HDLM-2: 30.7;SK-BR-3: 92.6
ARHGAP4	C1, KIAA0131, p115, RhoGAP4, SrGAP4	ENSG00000089820	Rho GTPase activating protein 4	X	153907367-153934999	Predicted intracellular proteins	Evidence at protein level	HPA001012, HPA001083	Enhanced		Approved	Nucleoplasm<br>Focal adhesion sites	Colorectal cancer:1.97e-5 (unfavourable), Cervical cancer:3.94e-5 (favourable), Renal cancer:2.49e-4 (unfavourable), Head and neck cancer:3.31e-4 (favourable)	Expressed in all	Tissue enhanced		spleen: 95.1	lymph node: 87.2	Cell line enhanced		MOLT-4: 72.4;RPMI-8226: 121.4
NPDC1	CAB-, CAB1, DKFZp586J0523	ENSG00000107281	Neural proliferation, differentiation and control 1	9	137039470-137046203	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA008189	Approved		Approved	Nucleus<br>Cytosol	Colorectal cancer:2.01e-5 (unfavourable), Endometrial cancer:6.19e-5 (favourable), Pancreatic cancer:3.18e-4 (favourable)	Expressed in all	Expressed in all			prostate: 124.2	Mixed		
DAPK1	DAPK	ENSG00000196730	Death associated protein kinase 1	9	87497228-87708633	Cancer-related genes, Enzymes, Predicted membrane proteins	Evidence at protein level	CAB037302, HPA040472, HPA048436	Approved		Approved	Centrosome	Colorectal cancer:2.48e-5 (unfavourable)	Expressed in all	Mixed			lung: 56.3	Cell line enhanced		HMC-1: 85.8
CNPY3	CAG4A, TNRC5	ENSG00000137161	Canopy FGF signaling regulator 3	6	42929192-42939287	Predicted secreted proteins	Evidence at protein level	HPA016560	Uncertain				Renal cancer:9.85e-6 (unfavourable), Colorectal cancer:3.03e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 103.1	Expressed in all		
ARL8A	ARL10B, FLJ45195, Gie2	ENSG00000143862	ADP ribosylation factor like GTPase 8A	1	202133404-202144743	Predicted intracellular proteins	Evidence at protein level	HPA038759, HPA040515, HPA045924	Approved				Colorectal cancer:3.08e-5 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 113.6	Expressed in all		
INAFM1	PRR24	ENSG00000257704	InaF motif containing 1	19	47274453-47275707	Predicted intracellular proteins	Evidence at transcript level	HPA064015	Uncertain				Colorectal cancer:3.20e-5 (unfavourable), Renal cancer:3.04e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 23.3	Expressed in all		
RHBDD2	NPD007, RHBDL7	ENSG00000005486	Rhomboid domain containing 2	7	75842602-75888926	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA045074, HPA051960	Uncertain		Enhanced	Golgi apparatus	Renal cancer:8.68e-6 (favourable), Colorectal cancer:3.31e-5 (unfavourable), Glioma:1.25e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 258.6	Expressed in all		
SEMA4C	Semacl1, Semaf, SEMAI	ENSG00000168758	Semaphorin 4C	2	96859716-96870757	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011090	Approved				Renal cancer:9.50e-7 (unfavourable), Colorectal cancer:3.53e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 62.9	Cell line enriched	6	BEWO: 298.1
GDI1	FLJ41411, GDIL, MRX41, MRX48, OPHN2, RABGDIA, XAP-4	ENSG00000203879	GDP dissociation inhibitor 1	X	154436913-154443467	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB012979, HPA049290, HPA057668	Enhanced		Approved	Vesicles	Colorectal cancer:3.83e-5 (unfavourable), Breast cancer:6.84e-4 (unfavourable)	Expressed in all	Tissue enriched	5	cerebral cortex: 532.0	smooth muscle: 101.3	Expressed in all		
SLC10A3	DXS253E, P3	ENSG00000126903	Solute carrier family 10 member 3	X	154487306-154490690	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA021656	Approved		Approved	Intermediate filaments	Colorectal cancer:4.15e-5 (unfavourable), Cervical cancer:4.53e-4 (favourable), Pancreatic cancer:7.22e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 33.0	Expressed in all		
PI4K2A	DKFZP761G1923, PI4KII, PIK42A	ENSG00000155252	Phosphatidylinositol 4-kinase type 2 alpha	10	97640686-97676434	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB030649	Approved				Colorectal cancer:4.21e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 31.3	Expressed in all		
HOMER3	HOMER-3	ENSG00000051128	Homer scaffolding protein 3	19	18929201-18941261	Predicted intracellular proteins	Evidence at protein level	CAB032656, HPA040999, CAB079015	Enhanced	Supported	Supported	Plasma membrane<br>Cytosol<br>Cytoplasmic bodies	Colorectal cancer:4.24e-5 (unfavourable), Liver cancer:4.93e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 150.5	Mixed		
HSD17B14	DHRS10, retSDR3, SDR47C1	ENSG00000087076	Hydroxysteroid 17-beta dehydrogenase 14	19	48813017-48836678	Predicted intracellular proteins	Evidence at protein level	HPA021467	Approved				Pancreatic cancer:2.87e-5 (favourable), Colorectal cancer:4.39e-5 (unfavourable)	Expressed in all	Mixed			kidney: 53.3	Cell line enhanced		HHSteC: 35.4;Karpas-707: 35.4;RT4: 28.6
NPC2	EDDM1, HE1, NP-C2	ENSG00000119655	NPC intracellular cholesterol transporter 2	14	74476192-74494177	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA000835	Enhanced				Colorectal cancer:4.83e-5 (unfavourable), Stomach cancer:2.66e-4 (unfavourable), Liver cancer:3.13e-4 (unfavourable), Thyroid cancer:6.55e-4 (favourable)	Expressed in all	Tissue enriched	19	epididymis: 16336.0	lung: 849.0	Expressed in all		
CRYAB	CRYA2, HSPB5	ENSG00000109846	Crystallin alpha B	11	111908565-111923722	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB002053, CAB040560, HPA057100	Enhanced		Enhanced	Plasma membrane<br>Cytosol	Urothelial cancer:1.70e-5 (unfavourable), Colorectal cancer:4.90e-5 (unfavourable)	Group enriched	Tissue enhanced		heart muscle: 3968.4	cerebral cortex: 1888.7	Cell line enhanced		ASC diff: 1679.2;fHDF/TERT166: 650.9;U-138 MG: 315.9
LIMK1	LIMK	ENSG00000106683	LIM domain kinase 1	7	74082933-74122525	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA028064, HPA028516	Approved		Supported	Nuclear speckles<br>Cytosol	Renal cancer:6.63e-8 (unfavourable), Liver cancer:7.79e-6 (unfavourable), Colorectal cancer:4.95e-5 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 39.5	Expressed in all		
PYCR2	P5CR2	ENSG00000143811	Pyrroline-5-carboxylate reductase family member 2	1	225919877-225924340	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA056873	Approved		Approved	Mitochondria	Renal cancer:1.42e-6 (unfavourable), Colorectal cancer:5.02e-5 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 71.9	Expressed in all		
RRNAD1	C1orf66, CGI-41, METTL25B	ENSG00000143303	Ribosomal RNA adenine dimethylase domain containing 1	1	156728442-156736960	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA047426	Approved		Approved	Nucleoli<br>Cytosol	Colorectal cancer:5.60e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 49.2	Expressed in all		
CALB2	CAL2	ENSG00000172137	Calbindin 2	16	71358713-71390438	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	CAB000106, HPA007305, HPA007306	Enhanced	Supported	Enhanced	Cytosol	Colorectal cancer:5.78e-5 (unfavourable)	Mixed	Tissue enhanced		adipose tissue: 54.6;testis: 24.9	adrenal gland: 12.7	Cell line enhanced		HEL: 57.0;HMC-1: 116.3;U-2 OS: 39.2
GPC1	glypican	ENSG00000063660	Glypican 1	2	240435671-240468078	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA030571	Approved		Supported	Plasma membrane<br>Cytosol	Liver cancer:2.44e-6 (unfavourable), Colorectal cancer:5.78e-5 (unfavourable), Endometrial cancer:1.55e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 265.8	prostate: 67.5	Mixed		
VAMP1	SYB1, VAMP-1	ENSG00000139190	Vesicle associated membrane protein 1	12	6462237-6470987	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002779, CAB016119, CAB079000	Approved	Approved			Renal cancer:1.04e-11 (unfavourable), Colorectal cancer:6.37e-5 (unfavourable), Liver cancer:6.97e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 43.5	Cell line enriched	5	U-698: 140.4
PPP1R3E	FLJ00089	ENSG00000235194	Protein phosphatase 1 regulatory subunit 3E	14	23295643-23302848	Predicted intracellular proteins	Evidence at protein level	HPA061600	Approved		Approved	Microtubules<br>Mitotic spindle<br>Mitochondria	Colorectal cancer:6.89e-5 (unfavourable), Lung cancer:3.10e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 14.5	Cell line enhanced		U-266/70: 31.3
HOXD13	HOX4I, SPD	ENSG00000128714	Homeobox D13	2	176092891-176095938	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA064064			Supported	Nucleus	Colorectal cancer:6.95e-5 (unfavourable)	Mixed	Group enriched	8	cervix, uterine: 7.9;colon: 4.9;prostate: 16.9;rectum: 9.5;seminal vesicle: 24.5	urinary bladder: 1.5	Cell line enhanced		HAP1: 20.6;HEK 293: 52.3;HL-60: 52.4;NB-4: 24.7;SCLC-21H: 19.3
ALAD	ALADH, PBGS	ENSG00000148218	Aminolevulinate dehydratase	9	113386317-113401333	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA021023, HPA022124	Enhanced				Colorectal cancer:7.33e-5 (unfavourable), Liver cancer:8.80e-5 (favourable), Renal cancer:1.65e-4 (favourable), Endometrial cancer:5.64e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 147.1	Expressed in all		
ADARB1	ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1	ENSG00000197381	Adenosine deaminase, RNA specific B1	21	45073853-45226560	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA029645			Supported	Nucleoplasm<br>Cytosol	Colorectal cancer:8.16e-5 (unfavourable), Renal cancer:3.56e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 30.2	Cell line enhanced		HHSteC: 55.4
HSF4	CTM	ENSG00000102878	Heat shock transcription factor 4	16	67164681-67169945	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA048584			Supported	Nuclear speckles	Renal cancer:2.19e-6 (unfavourable), Colorectal cancer:8.24e-5 (unfavourable)	Expressed in all	Mixed			adrenal gland: 14.8	Cell line enhanced		T-47d: 12.3;U-266/70: 18.1
ARHGEF17	KIAA0337, p164-RhoGEF, TEM4	ENSG00000110237	Rho guanine nucleotide exchange factor 17	11	73308289-73369091	Predicted intracellular proteins	Evidence at protein level	HPA007991	Uncertain		Approved	Cytosol	Colorectal cancer:8.27e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 37.6	Mixed		
JDP2	JUNDM2	ENSG00000140044	Jun dimerization protein 2	14	75427716-75474111	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059511	Supported		Approved	Nucleoplasm<br>Nuclear speckles	Colorectal cancer:8.58e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 85.7	Cell line enhanced		HHSteC: 140.4
MGEA5	MEA5, NCOAT, OGA	ENSG00000198408	Meningioma expressed antigen 5 (hyaluronidase)	10	101784443-101818465	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA036141, HPA076501	Approved		Supported	Cytosol	Colorectal cancer:8.69e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 129.4	Expressed in all		
COMP	EDM1, EPD1, MED, PSACH, THBS5	ENSG00000105664	Cartilage oligomeric matrix protein	19	18782773-18791314	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA077555			Approved	Golgi apparatus	Renal cancer:1.52e-6 (unfavourable), Colorectal cancer:9.08e-5 (unfavourable), Endometrial cancer:2.04e-4 (unfavourable), Urothelial cancer:6.95e-4 (unfavourable)	Mixed	Tissue enhanced		gallbladder: 24.5	smooth muscle: 18.2	Cell line enriched	5	fHDF/TERT166: 666.2
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	19	2249309-2252073	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA066973			Approved	Vesicles<br>Aggresome	Colorectal cancer:9.21e-5 (unfavourable)	Mixed	Tissue enriched	6	testis: 1.6	cerebral cortex: 0.2	Cell line enhanced		HEK 293: 15.7;NTERA-2: 6.5;REH: 6.4;SH-SY5Y: 8.2
GPRC5B	RAIG-2	ENSG00000167191	G protein-coupled receptor class C group 5 member B	16	19856691-19886167	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA015247	Enhanced		Supported	Nucleus<br>Nucleoli<br>Vesicles	Colorectal cancer:9.27e-5 (unfavourable), Renal cancer:6.30e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 308.3	testis: 66.2	Cell line enhanced		EFO-21: 84.6;HHSteC: 50.7
KCNE4	MiRP3	ENSG00000152049	Potassium voltage-gated channel subfamily E regulatory subunit 4	2	223051814-223198399	Predicted membrane proteins	Evidence at protein level	HPA011420	Approved		Approved	Nuclear bodies<br>Microtubules	Renal cancer:2.02e-7 (unfavourable), Colorectal cancer:9.42e-5 (unfavourable)	Expressed in all	Tissue enhanced		smooth muscle: 54.0	endometrium: 33.5	Cell line enriched	6	AN3-CA: 152.4
FAM50A	9F, DXS9928E, HXC-26, XAP5	ENSG00000071859	Family with sequence similarity 50 member A	X	154444126-154450654	Predicted intracellular proteins	Evidence at protein level	HPA003585	Supported		Enhanced	Nucleoplasm	Liver cancer:3.15e-5 (unfavourable), Colorectal cancer:9.52e-5 (unfavourable), Cervical cancer:2.05e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 67.0	Expressed in all		
TMEM106A	MGC20235	ENSG00000184988	Transmembrane protein 106A	17	43211835-43220041	Predicted membrane proteins	Evidence at transcript level						Colorectal cancer:9.61e-5 (unfavourable)	Expressed in all	Mixed			kidney: 23.2	Mixed		
PHF1	MTF2L2, PCL1, TDRD19C	ENSG00000112511	PHD finger protein 1	6	33410399-33416453	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA031038	Approved		Approved	Nucleoplasm	Colorectal cancer:9.64e-5 (unfavourable), Urothelial cancer:1.72e-4 (favourable)	Expressed in all	Mixed			testis: 16.0	Mixed		
PRELP	prolargin, SLRR2A	ENSG00000188783	Proline and arginine rich end leucine rich repeat protein	1	203475828-203491352	Plasma proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:5.62e-6 (unfavourable), Colorectal cancer:9.70e-5 (unfavourable), Urothelial cancer:1.02e-4 (unfavourable)	Expressed in all	Mixed			seminal vesicle: 108.0	Group enriched	7	ASC diff: 12.4;BJ: 6.5;fHDF/TERT166: 9.1
MTHFSD	FLJ12998	ENSG00000103248	Methenyltetrahydrofolate synthetase domain containing	16	86530176-86555235	Predicted intracellular proteins	Evidence at protein level	HPA041333	Uncertain		Approved	Nucleus<br>Vesicles	Colorectal cancer:9.88e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 33.0	Mixed		
HSPB1	CMT2F, Hs.76067, Hsp25, HSP27, HSP28	ENSG00000106211	Heat shock protein family B (small) member 1	7	76302544-76304295	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA000497, CAB004439, CAB047330, CAB047331, CAB047332	Enhanced		Enhanced	Plasma membrane<br>Cytosol	Colorectal cancer:9.94e-5 (unfavourable)	Expressed in all	Expressed in all			esophagus: 1615.3	Expressed in all		
AGAP9	bA301J7.2, CTGLF6, FLJ00312	ENSG00000204172	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	10	47501854-47523638	Predicted intracellular proteins	Evidence at transcript level	HPA042490	Uncertain				Renal cancer:3.02e-5 (unfavourable), Colorectal cancer:9.98e-5 (unfavourable), Urothelial cancer:7.04e-4 (favourable)	Expressed in all	Expressed in all			skin: 26.3	Mixed		
DNAJB2	CMT2T, HSJ1, HSPF3	ENSG00000135924	DnaJ heat shock protein family (Hsp40) member B2	2	219279267-219286900	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA036268	Approved		Enhanced	Nuclear membrane	Colorectal cancer:1.01e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 161.8	Expressed in all		
LMBR1L	FLJ10494, KIAA1174	ENSG00000139636	Limb development membrane protein 1 like	12	49096551-49110900	Predicted membrane proteins	Evidence at protein level						Renal cancer:4.45e-7 (unfavourable), Colorectal cancer:1.04e-4 (unfavourable), Pancreatic cancer:3.50e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 27.9	endometrium: 9.1	Expressed in all		
WBP1	WBP-1	ENSG00000239779	WW domain binding protein 1	2	74458329-74460891	Predicted membrane proteins	Evidence at protein level	HPA057067	Approved		Approved	Cytosol	Colorectal cancer:1.04e-4 (unfavourable), Urothelial cancer:6.36e-4 (favourable), Pancreatic cancer:6.83e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 91.5	Expressed in all		
CYHR1	CHRP, KIAA0496, MGC13010	ENSG00000187954	Cysteine and histidine rich 1	8	144449582-144465677	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA053653, HPA059543	Approved		Enhanced	Nucleoplasm	Colorectal cancer:1.05e-4 (unfavourable), Liver cancer:3.90e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 51.4	Expressed in all		
IGFBP3	BP-53, IBP3	ENSG00000146674	Insulin like growth factor binding protein 3	7	45912245-45921874	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB010360			Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:5.07e-7 (unfavourable), Colorectal cancer:1.08e-4 (unfavourable), Liver cancer:1.64e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 2671.0	endometrium: 886.0	Cell line enhanced		fHDF/TERT166: 6647.1;U-2197: 3223.6;U-87 MG: 1735.3
FAM167B	C1orf90, MGC10820	ENSG00000183615	Family with sequence similarity 167 member B	1	32247233-32248856	Predicted intracellular proteins	Evidence at protein level	HPA029398, HPA062074	Approved		Approved	Actin filaments	Colorectal cancer:1.11e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 9.4	Cell line enhanced		EFO-21: 11.4;SK-MEL-30: 23.7;U-2197: 28.2
TMEM184A	MGC9712, SDMG1	ENSG00000164855	Transmembrane protein 184A	7	1542235-1560821	Predicted membrane proteins	Evidence at protein level	HPA053790, HPA071312	Uncertain		Approved	Nucleoplasm	Colorectal cancer:1.12e-4 (unfavourable), Thyroid cancer:9.94e-4 (unfavourable)	Mixed	Tissue enhanced		skin: 33.5	esophagus: 26.5	Cell line enhanced		SCLC-21H: 43.0;SK-BR-3: 42.7;T-47d: 47.5
TMEM88	FLJ20025, MGC71744	ENSG00000167874	Transmembrane protein 88	17	7855065-7856099	Predicted membrane proteins	Evidence at protein level	HPA052991	Approved				Liver cancer:4.43e-6 (favourable), Colorectal cancer:1.16e-4 (unfavourable)	Expressed in all	Mixed			placenta: 34.2	Group enriched	5	AN3-CA: 60.4;HHSteC: 35.4;HUVEC TERT2: 42.7;NTERA-2: 26.4
ALDH3B1	ALDH7	ENSG00000006534	Aldehyde dehydrogenase 3 family member B1	11	68008578-68029282	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA038525	Uncertain				Colorectal cancer:1.18e-4 (unfavourable), Pancreatic cancer:6.07e-4 (unfavourable)	Expressed in all	Tissue enhanced		fallopian tube: 64.4;lung: 67.7	bone marrow: 30.7	Cell line enhanced		A549: 137.9;CAPAN-2: 136.9
FKBP8	FKBP38, FKBPr38	ENSG00000105701	FK506 binding protein 8	19	18531751-18544077	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB025346, HPA045177	Supported		Supported	Endoplasmic reticulum<br>Mitochondria<br>Cytosol	Colorectal cancer:1.24e-4 (unfavourable), Pancreatic cancer:7.76e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 354.7	Expressed in all		
S1PR3	EDG-3, EDG3	ENSG00000213694	Sphingosine-1-phosphate receptor 3	9	88991447-89005010	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level						Renal cancer:7.91e-6 (unfavourable), Colorectal cancer:1.30e-4 (unfavourable), Breast cancer:5.91e-4 (favourable)	Expressed in all	Mixed			smooth muscle: 52.4	Cell line enhanced		AF22: 117.8;ASC diff: 111.7;ASC TERT1: 114.8
GATAD2B	P66beta	ENSG00000143614	GATA zinc finger domain containing 2B	1	153789030-153923360	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA017015	Approved		Enhanced	Nucleoplasm	Colorectal cancer:1.30e-4 (unfavourable), Renal cancer:3.08e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 19.7	Expressed in all		
