Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CLCC1	MCLC	ENSG00000121940	Chloride channel CLIC like 1	1	108929508-108963457	Predicted membrane proteins, Transporters	Evidence at protein level	HPA009087, HPA013210	Enhanced		Enhanced	Endoplasmic reticulum	Colorectal cancer:1.33e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 38.6	Expressed in all		
AP3B1	ADTB3A, HPS2	ENSG00000132842	Adaptor related protein complex 3 beta 1 subunit	5	78000525-78294755	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA038737, HPA045458	Approved		Approved	Nucleoplasm<br>Golgi apparatus	Renal cancer:7.97e-6 (favourable), Colorectal cancer:1.37e-5 (favourable)	Expressed in all	Expressed in all			epididymis: 65.5	Expressed in all		
PRPSAP1	PAP39	ENSG00000161542	Phosphoribosyl pyrophosphate synthetase associated protein 1	17	76309486-76384521	Predicted intracellular proteins	Evidence at protein level	HPA062396			Approved	Cytosol	Colorectal cancer:1.39e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 82.4	Expressed in all		
PSMA5	ZETA	ENSG00000143106	Proteasome subunit alpha 5	1	109399031-109426427	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA028392, HPA028398, HPA028441	Approved		Approved	Cytosol	Colorectal cancer:1.45e-5 (favourable), Liver cancer:2.28e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 14.9	Cell line enhanced		MOLT-4: 36.7
GRSF1		ENSG00000132463	G-rich RNA sequence binding factor 1	4	70815782-70839945	Predicted intracellular proteins	Evidence at protein level	HPA036984, HPA036985	Enhanced		Enhanced	Mitochondria	Renal cancer:2.72e-9 (favourable), Colorectal cancer:1.47e-5 (favourable), Liver cancer:8.29e-5 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 95.7	Expressed in all		
CD274	B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1	ENSG00000120217	CD274 molecule	9	5450503-5470566	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB030018, CAB076385	Enhanced		Approved	Cytosol	Colorectal cancer:1.64e-5 (favourable), Breast cancer:8.89e-4 (favourable)	Mixed	Mixed			appendix: 14.0	Cell line enhanced		HDLM-2: 82.8;HHSteC: 46.6;U-251 MG: 80.8
ORC1	HSORC1, ORC1L, PARC1	ENSG00000085840	Origin recognition complex subunit 1	1	52372829-52404459	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA027450	Approved		Approved	Nucleus<br>Plasma membrane<br>Cytosol	Colorectal cancer:1.74e-5 (favourable), Liver cancer:3.22e-5 (unfavourable), Melanoma:3.69e-4 (unfavourable)	Mixed	Tissue enhanced		bone marrow: 17.9	lymph node: 7.9	Mixed		
TBC1D12	KIAA0608	ENSG00000108239	TBC1 domain family member 12	10	94402504-94535930	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA038277, HPA038645	Uncertain		Approved	Nucleoplasm<br>Nuclear speckles	Colorectal cancer:1.79e-5 (favourable)	Expressed in all	Mixed			parathyroid gland: 19.4	Mixed		
YTHDC2	DKFZp564A186, FLJ10053, FLJ2194	ENSG00000047188	YTH domain containing 2	5	113513683-113595285	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA037364, HPA072678	Approved		Approved	Nucleoplasm<br>Nuclear bodies<br>Cytoplasmic bodies	Colorectal cancer:1.82e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 37.0	Expressed in all		
OSBP	OSBP1	ENSG00000110048	Oxysterol binding protein	11	59574398-59616144	Predicted intracellular proteins	Evidence at protein level	HPA039227, HPA043625	Enhanced		Enhanced	Nucleus<br>Golgi apparatus<br>Cytosol	Renal cancer:3.08e-7 (favourable), Colorectal cancer:2.08e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 73.9	Expressed in all		
GSPT1	eRF3a, ETF3A, GST1	ENSG00000103342	G1 to S phase transition 1	16	11868128-11916082	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA052488	Approved		Approved	Vesicles<br>Cytosol	Colorectal cancer:2.10e-5 (favourable), Renal cancer:3.06e-5 (favourable), Liver cancer:7.94e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 131.6	Expressed in all		
PGM2	FLJ10983	ENSG00000169299	Phosphoglucomutase 2	4	37826633-37862937	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA040676	Uncertain		Approved	Intermediate filaments	Colorectal cancer:2.14e-5 (favourable)	Expressed in all	Mixed			esophagus: 36.5	Expressed in all		
CASP6	MCH2	ENSG00000138794	Caspase 6	4	109688622-109703583	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB003775, HPA011337, HPA024303	Enhanced		Supported	Nucleus<br>Cytosol	Colorectal cancer:2.64e-5 (favourable), Urothelial cancer:9.93e-4 (favourable)	Expressed in all	Expressed in all			small intestine: 46.1	Expressed in all		
NEK4	NRK2, pp12301, STK2	ENSG00000114904	NIMA related kinase 4	3	52708449-52770949	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA015750, HPA058543	Approved		Supported	Cytosol	Colorectal cancer:2.69e-5 (favourable)	Expressed in all	Expressed in all			testis: 84.3	Expressed in all		
PALB2	FANCN, FLJ21816	ENSG00000083093	Partner and localizer of BRCA2	16	23603160-23641310	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB014895, HPA057000	Approved		Supported	Nucleoplasm	Pancreatic cancer:2.35e-5 (unfavourable), Colorectal cancer:2.83e-5 (favourable)	Expressed in all	Mixed			testis: 14.5	Expressed in all		
PDE12	2'-PDE, DKFZp667B1218	ENSG00000174840	Phosphodiesterase 12	3	57556276-57566844	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA043171	Approved				Renal cancer:3.63e-8 (favourable), Colorectal cancer:2.85e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 15.9	Expressed in all		
WNT5A	hWNT5A	ENSG00000114251	Wnt family member 5A	3	55465715-55490539	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Colorectal cancer:2.94e-5 (favourable)	Expressed in all	Tissue enhanced		endometrium: 45.3	urinary bladder: 35.4	Cell line enhanced		BJ: 189.9;BJ hTERT+: 249.3;SiHa: 371.6;U-87 MG: 239.2
HMGXB4	HMG2L1, THC211630	ENSG00000100281	HMG-box containing 4	22	35257452-35295807	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000725	Approved				Colorectal cancer:3.24e-5 (favourable), Pancreatic cancer:1.16e-4 (unfavourable), Liver cancer:4.79e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 18.8	Expressed in all		
ATOH1	bHLHa14, HATH1, MATH-1, Math1	ENSG00000172238	Atonal bHLH transcription factor 1	4	93828753-93830964	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Colorectal cancer:3.26e-5 (favourable)	Tissue enhanced	Group enriched	9	colon: 17.6;duodenum: 11.1;rectum: 19.7;small intestine: 22.4	appendix: 1.9	Not detected		
NPEPPS	MP100, PSA	ENSG00000141279	Aminopeptidase puromycin sensitive	17	47522942-47623276	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA021453, HPA045649	Uncertain		Supported	Cytosol	Colorectal cancer:3.39e-5 (favourable), Liver cancer:3.67e-5 (unfavourable)	Expressed in all	Expressed in all			esophagus: 106.9	Expressed in all		
BRIP1	BACH1, FANCJ, OF	ENSG00000136492	BRCA1 interacting protein C-terminal helicase 1	17	61681266-61863521	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA005474	Approved		Supported	Nucleus<br>Nuclear membrane	Colorectal cancer:3.45e-5 (favourable), Head and neck cancer:3.62e-4 (favourable)	Mixed	Tissue enhanced		testis: 14.4	bone marrow: 5.0	Cell line enhanced		MCF7: 77.7
MMD	MMA, PAQR11	ENSG00000108960	Monocyte to macrophage differentiation associated	17	55392613-55421992	Predicted membrane proteins, Transporters	Evidence at transcript level	HPA026978			Approved	Vesicles	Colorectal cancer:3.52e-5 (favourable), Liver cancer:6.39e-5 (unfavourable), Renal cancer:2.85e-4 (unfavourable), Endometrial cancer:3.88e-4 (unfavourable), Thyroid cancer:8.62e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 141.5	cerebral cortex: 73.0	Expressed in all		
EIF4A3	DDX48, EIF4AIII, KIAA0111	ENSG00000141543	Eukaryotic translation initiation factor 4A3	17	80135214-80147183	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA021878	Enhanced		Supported	Nucleoplasm	Liver cancer:1.68e-5 (unfavourable), Colorectal cancer:3.57e-5 (favourable), Lung cancer:1.87e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 112.1	Expressed in all		
CCRL2	ACKR5, CKRX, CRAM-A, CRAM-B, HCR	ENSG00000121797	C-C motif chemokine receptor like 2	3	46407163-46412997	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA043238	Approved				Colorectal cancer:3.72e-5 (favourable), Urothelial cancer:9.67e-5 (favourable)	Mixed	Mixed			lung: 17.7	Cell line enhanced		HEL: 18.0;PC-3: 14.0;TIME: 12.2
GRPEL2	DKFZp451C205, FLJ23713, Mt-GrpE#2	ENSG00000164284	GrpE like 2, mitochondrial	5	149345430-149354583	Predicted intracellular proteins	Evidence at protein level	HPA018173, HPA023211	Uncertain		Enhanced	Mitochondria	Liver cancer:6.16e-8 (unfavourable), Colorectal cancer:3.87e-5 (favourable), Endometrial cancer:2.21e-4 (unfavourable), Renal cancer:4.20e-4 (unfavourable)	Expressed in all	Tissue enhanced		esophagus: 30.4	thyroid gland: 9.7	Expressed in all		
NOP14	C4orf9, NOL14, RES4-25, UTP2	ENSG00000087269	NOP14 nucleolar protein	4	2937933-2963385	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA039596, HPA055652	Approved		Enhanced	Nucleus<br>Nucleoli	Colorectal cancer:3.93e-5 (favourable), Liver cancer:9.10e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 27.3	Expressed in all		
DHX40	ARG147, DDX40, FLJ22060, PAD	ENSG00000108406	DEAH-box helicase 40	17	59565525-59608345	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA044350	Uncertain		Supported	Nucleus	Colorectal cancer:4.05e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 89.6	Expressed in all		
GSR		ENSG00000104687	Glutathione-disulfide reductase	8	30678061-30727926	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001538, CAB008632	Approved		Supported	Plasma membrane<br>Cytosol	Liver cancer:3.26e-5 (unfavourable), Colorectal cancer:4.08e-5 (favourable), Renal cancer:1.80e-4 (favourable), Cervical cancer:3.37e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 79.3	Expressed in all		
PRKAR2A	PRKAR2	ENSG00000114302	Protein kinase cAMP-dependent type II regulatory subunit alpha	3	48744597-48847846	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005023, HPA038268	Uncertain		Supported	Golgi apparatus<br>Vesicles<br>Microtubule organizing center	Colorectal cancer:4.27e-5 (favourable), Liver cancer:1.97e-4 (unfavourable), Renal cancer:2.07e-4 (favourable)	Expressed in all	Expressed in all			testis: 124.3	Mixed		
RFC1	A1, MHCBFB, PO-GA, RFC140	ENSG00000035928	Replication factor C subunit 1	4	39287456-39366375	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009520, HPA046116, HPA069306	Supported		Enhanced	Nucleus	Colorectal cancer:4.43e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 66.7	Expressed in all		
NDC1	FLJ10407, NET3, TMEM48	ENSG00000058804	NDC1 transmembrane nucleoporin	1	53765460-53838860	Predicted membrane proteins, Transporters	Evidence at protein level	HPA069751, HPA070882	Approved		Supported	Nuclear membrane<br>Plasma membrane<br>Actin filaments	Liver cancer:7.52e-7 (unfavourable), Colorectal cancer:4.48e-5 (favourable), Pancreatic cancer:3.58e-4 (unfavourable)	Expressed in all	Mixed			lymph node: 16.4	Expressed in all		
CDC42SE2	FLJ21967, SPEC2	ENSG00000158985	CDC42 small effector 2	5	131245493-131398447	Predicted intracellular proteins	Evidence at protein level	HPA038624	Enhanced				Colorectal cancer:4.50e-5 (favourable), Urothelial cancer:7.50e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 92.9	Expressed in all		
SRSF1	ASF, MGC5228, SF2, SF2p33, SFRS1, SRp30a	ENSG00000136450	Serine and arginine rich splicing factor 1	17	58003360-58007346	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013073, HPA061301	Supported		Enhanced	Nucleoplasm	Liver cancer:1.64e-6 (unfavourable), Renal cancer:2.95e-5 (unfavourable), Colorectal cancer:4.56e-5 (favourable), Cervical cancer:7.00e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 156.5	Expressed in all		
NAT2	AAC2	ENSG00000156006	N-acetyltransferase 2	8	18391245-18401218	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA043704	Uncertain				Colorectal cancer:4.61e-5 (favourable)	Tissue enhanced	Group enriched	13	colon: 14.4;duodenum: 32.7;liver: 62.4;rectum: 14.0;small intestine: 27.1	smooth muscle: 2.3	Cell line enhanced		RT4: 1.2;SCLC-21H: 2.5;SK-BR-3: 1.0
CAPN7	PalBH	ENSG00000131375	Calpain 7	3	15206152-15252918	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA046617	Uncertain				Colorectal cancer:4.85e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 39.4	Expressed in all		
FDFT1		ENSG00000079459	Farnesyl-diphosphate farnesyltransferase 1	8	11795573-11839309	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA008874	Approved		Supported	Endoplasmic reticulum	Renal cancer:6.59e-9 (favourable), Colorectal cancer:4.92e-5 (favourable)	Expressed in all	Expressed in all			testis: 215.0	Expressed in all		
SLC39A14	KIAA0062, NET34, ZIP14	ENSG00000104635	Solute carrier family 39 member 14	8	22367249-22434129	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA016508	Approved		Approved	Endoplasmic reticulum<br>Golgi apparatus<br>Plasma membrane	Renal cancer:3.79e-7 (unfavourable), Colorectal cancer:5.00e-5 (favourable)	Expressed in all	Mixed			liver: 203.0	Expressed in all		
UBE2D2	UBC4, UbcH5B	ENSG00000131508	Ubiquitin conjugating enzyme E2 D2	5	139526431-139628433	Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA003920	Approved		Approved	Plasma membrane<br>Cytosol	Liver cancer:9.63e-7 (unfavourable), Renal cancer:2.09e-5 (unfavourable), Colorectal cancer:5.09e-5 (favourable), Endometrial cancer:5.90e-4 (favourable)	Expressed in all	Expressed in all			testis: 239.4	Expressed in all		
SNX7		ENSG00000162627	Sorting nexin 7	1	98661701-98760500	Predicted intracellular proteins	Evidence at protein level	HPA037419, HPA054338	Enhanced		Approved	Nucleoli fibrillar center<br>Cytosol	Liver cancer:9.59e-7 (unfavourable), Colorectal cancer:5.10e-5 (favourable)	Expressed in all	Mixed			smooth muscle: 37.7	Mixed		
GFI1	GFI-1, GFI1A, ZNF163	ENSG00000162676	Growth factor independent 1 transcriptional repressor	1	92474762-92486876	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011197	Uncertain				Colorectal cancer:5.68e-5 (favourable)	Mixed	Tissue enhanced		bone marrow: 34.8	lymph node: 8.1	Cell line enhanced		HL-60: 49.8;HMC-1: 42.0;THP-1: 86.5;U-937: 207.4
PDSS2	bA59I9.3, C6orf210	ENSG00000164494	Decaprenyl diphosphate synthase subunit 2	6	107152557-107459564	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA029685, HPA029686	Approved		Enhanced	Cytosol	Renal cancer:3.75e-7 (favourable), Breast cancer:1.34e-5 (unfavourable), Colorectal cancer:5.74e-5 (favourable)	Expressed in all	Expressed in all			prostate: 23.4	Expressed in all		
ARFIP1	HSU52521	ENSG00000164144	ADP ribosylation factor interacting protein 1	4	152779937-152918463	Predicted intracellular proteins	Evidence at protein level	CAB005080, HPA037375, HPA063759	Enhanced		Supported	Nucleus<br>Golgi apparatus<br>Vesicles	Renal cancer:2.83e-10 (favourable), Colorectal cancer:5.75e-5 (favourable)	Expressed in all	Expressed in all			endometrium: 39.4	Expressed in all		
MSH3	DUP, MRP1	ENSG00000113318	MutS homolog 3	5	80654648-80876460	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA036081			Approved	Nuclear bodies	Colorectal cancer:5.90e-5 (favourable), Renal cancer:1.77e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 18.6	Expressed in all		
UBTD2	DC-UbP, MGC30022	ENSG00000168246	Ubiquitin domain containing 2	5	172209640-172284071	Predicted intracellular proteins	Evidence at protein level	HPA035891, HPA035892	Uncertain				Liver cancer:1.44e-5 (unfavourable), Colorectal cancer:5.92e-5 (favourable)	Expressed in all	Mixed			testis: 53.4	Expressed in all		
VEZF1	DB1, ZNF161	ENSG00000136451	Vascular endothelial zinc finger 1	17	57971547-57988259	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA027520, HPA048315	Uncertain		Enhanced	Nucleoplasm	Colorectal cancer:6.14e-5 (favourable), Liver cancer:6.46e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 82.1	Expressed in all		
RETNLB	FIZZ2, HXCP2, RELMb	ENSG00000163515	Resistin like beta	3	108743424-108757384	Predicted secreted proteins	Evidence at transcript level	HPA049152	Approved				Colorectal cancer:6.86e-5 (favourable)	Tissue enriched	Tissue enhanced		colon: 73.5;rectum: 270.7	small intestine: 36.9	Not detected		
IFT57	ESRRBL1, FLJ10147, HIPPI, MHS4R2	ENSG00000114446	Intraflagellar transport 57	3	108160812-108222570	Predicted intracellular proteins	Evidence at protein level	HPA035514, HPA035515	Supported		Approved	Nuclear speckles<br>Mitochondria<br>Cytosol	Colorectal cancer:6.96e-5 (favourable), Ovarian cancer:7.63e-4 (favourable)	Expressed in all	Mixed			testis: 67.1	Expressed in all		
SCP2		ENSG00000116171	Sterol carrier protein 2	1	52927229-53051703	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA027101, HPA027135, HPA027317	Supported		Enhanced	Peroxisomes	Renal cancer:7.85e-8 (favourable), Colorectal cancer:7.05e-5 (favourable)	Expressed in all	Expressed in all			liver: 601.5	Expressed in all		
GFPT1	GFA, GFAT, GFAT1, GFPT	ENSG00000198380	Glutamine--fructose-6-phosphate transaminase 1	2	69319769-69387254	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA047240			Approved	Nucleus<br>Nucleoli	Colorectal cancer:7.13e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 81.8	Expressed in all		
GPRIN3	FLJ42625, GRIN3	ENSG00000185477	GPRIN family member 3	4	89236386-89308010	Predicted intracellular proteins	Evidence at protein level	HPA043148, HPA057666, HPA059092	Uncertain		Approved	Nucleus<br>Nucleoli	Colorectal cancer:7.22e-5 (favourable), Renal cancer:8.33e-4 (favourable)	Mixed	Mixed			appendix: 12.0	Cell line enhanced		Karpas-707: 73.5;RPMI-8226: 18.9;SCLC-21H: 31.9
TUBA1C	bcm948, MGC10851, MGC14580, TUBA6	ENSG00000167553	Tubulin alpha 1c	12	49188736-49274603	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA039247, HPA043684, HPA063394	Supported		Supported	Microtubules	Liver cancer:8.48e-8 (unfavourable), Renal cancer:6.26e-7 (unfavourable), Pancreatic cancer:5.64e-6 (unfavourable), Colorectal cancer:7.37e-5 (favourable), Breast cancer:2.90e-4 (unfavourable), Lung cancer:6.85e-4 (unfavourable)	Expressed in all	Expressed in all			esophagus: 311.2	Expressed in all		
PLK4	Sak, STK18	ENSG00000142731	Polo like kinase 4	4	127880861-127899195	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA017327, HPA035026, HPA043198	Approved		Supported	Centrosome<br>Cytosol	Colorectal cancer:7.46e-5 (favourable), Lung cancer:5.13e-4 (unfavourable), Pancreatic cancer:5.14e-4 (unfavourable)	Expressed in all	Tissue enhanced		testis: 40.9	bone marrow: 13.9	Mixed		
UGT2B7	UGT2B9	ENSG00000171234	UDP glucuronosyltransferase family 2 member B7	4	69051363-69112987	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045108	Uncertain				Colorectal cancer:7.65e-5 (favourable), Renal cancer:3.79e-4 (favourable), Urothelial cancer:5.38e-4 (favourable)	Group enriched	Group enriched	13	kidney: 1326.3;liver: 825.7	fallopian tube: 79.7	Cell line enhanced		EFO-21: 73.2;RPTEC TERT1: 235.7;U-2197: 40.2
